/*********************************************
 * OPL 22.1.1.0 Data
 * Author: Automated Benchmark
 * Creation Date: 22 de Nov de 2025 at 02:19:39
 *********************************************/
r = 40;
n = 256;
x = [-30.71, -90.34, -39.66, 84.21, 58.94, 31.29, 12.27, 41.49, 15.66, 25.81, -68.32, -15.01, 22.61, 44.56, 15.18, 130.16, 30.13, 24.43, 21.08, 13.15, -21.2, 68.12, -43.17, -83.55, 31.17, -0.63, 96.78, -22.39, 61.45, 58.09, -31.88, -6.79, -23.97, 47.48, 109.03, 7.54, -39.6, 196.78, -71.92, 80.59, 21.32, -74.91, -47.98, 73.55, 158.3, -12.28, 8.07, 49.31, 25.71, -23.85, 102.25, 8.86, 55.5, -11.27, -6.37, 85.44, 10.76, -75.93, 4.11, 51.11, -5.76, -123.87, -16.53, -40.18, 13.45, -39.92, -52.05, -46.72, -8.69, 80.28, -125.65, 47.56, 158.09, -1.51, -27.69, 31.64, 2.14, 42.31, -81.3, 100.07, -107.81, -99.29, -16.91, -26.17, -83.78, -13.8, 29.19, -21.03, 23.27, -13.27, -9.39, -46.91, -67.59, -59.97, 102.74, 38.18, -6.53, 6.04, 103.84, -26.51, -69.11, 4.4, 34.77, -46.77, 5.12, 64.15, 21.92, 145.65, -47.41, 61.28, 74.91, -4.49, 20.9, 56.26, -35.91, 52.6, -86.73, 28.9, 79.65, 13.17, 93.25, -41.86, 106.65, 25.84, 29.96, 47.01, -40.06, -33.9, -16.71, -47.64, -48.79, 22.83, 33.95, 59.99, 14.44, 69.06, 37.82, 85.0, -38.34, -54.13, -61.49, 32.19, -17.79, -107.53, 42.82, 82.64, -6.8, 88.73, -29.7, -141.48, -13.47, 26.97, 81.5, 113.14, -17.74, 30.13, -4.88, -98.43, 56.27, -54.67, -19.15, -3.29, 36.28, -54.7, -104.85, 37.36, 16.55, 13.37, 69.86, -33.58, -87.92, 99.94, 38.31, -42.33, 94.82, -61.25, -53.46, -6.42, -82.72, -5.51, -33.1, 62.5, -142.73, 47.84, 29.4, 64.71, -85.54, 82.52, -6.19, -19.81, 45.18, 14.19, 9.95, -29.13, -9.31, -17.21, -30.34, -67.74, 90.74, 51.46, -111.3, -1.18, 22.6, 5.44, -78.32, 76.74, -21.25, 120.39, 43.35, -15.28, -58.73, -28.71, 48.35, -34.45, -31.17, 9.26, -99.73, 9.54, 27.68, -42.47, -13.77, -68.32, 56.03, -8.77, 81.48, -13.37, 83.23, -38.79, 44.03, -8.49, -110.43, -102.2, -33.29, -4.83, -70.51, 29.21, 79.51, -23.78, -112.44, -28.49, -74.34, -46.38, 108.81, -101.84, -68.06, 22.75, 59.85, -121.86, 95.75, -5.27, -13.27, 83.59, -44.73, 17.74, -40.8, -13.58];
y = [-36.22, -71.44, -6.71, -85.84, 36.0, 28.33, -27.32, -15.4, -42.98, -8.28, 41.08, -58.87, 115.44, 129.13, 113.26, 39.42, -58.65, -95.69, -94.86, 0.46, -50.29, -10.65, -9.21, 49.7, 60.55, -36.32, 73.41, 81.27, 74.3, 53.63, 7.61, -5.1, -38.83, 4.1, 4.15, 5.5, 35.34, 38.81, 130.26, -241.92, -2.14, -55.86, -10.67, -131.42, 69.32, -43.16, 41.21, 23.7, -28.89, -81.7, 50.44, 94.46, 33.86, -25.43, -52.93, 86.06, 46.05, 71.37, 36.3, 44.34, -20.03, -31.33, -52.66, -88.21, -72.74, 42.96, -44.19, -96.21, 77.79, 55.85, 130.88, 35.44, -28.83, 72.11, 84.85, 17.33, -136.63, 15.58, -95.61, -58.79, -10.57, -2.29, -45.39, 33.88, -61.03, -24.98, -51.93, 13.9, 53.08, -39.47, 65.57, -15.86, -95.28, 41.87, -33.98, 65.55, -130.22, -13.81, 47.49, 25.56, -11.72, 46.21, 1.52, -41.4, -14.72, -65.82, 47.56, 39.62, -91.99, 192.12, 25.55, 91.56, -17.26, -152.15, 3.03, -81.65, -18.45, 32.25, 23.26, 56.51, 138.48, 27.95, 106.87, -92.18, 59.39, -13.65, -21.1, 68.15, 56.37, 31.62, 0.64, 55.18, -79.33, 68.39, 45.86, 37.34, 37.02, -49.83, -84.05, -17.75, 10.91, -45.77, -120.53, -120.11, 63.56, 49.22, 11.47, 34.65, -44.98, -59.63, 80.55, -79.33, -2.76, -31.0, -26.99, 14.29, -46.96, -50.71, -44.1, -95.27, -13.7, -64.73, 18.76, -82.23, -21.14, 83.48, -29.7, 78.29, -27.24, 6.87, -35.55, -10.66, -11.43, -103.59, -2.19, -26.8, -14.79, -87.51, 58.04, 13.27, 29.04, 27.03, -18.23, -37.56, -48.94, -87.85, -25.57, -33.37, -28.99, -30.58, 41.3, 8.29, -120.13, -49.91, -35.89, -36.03, 18.89, 17.64, -38.42, -34.95, 87.81, 18.96, -76.23, 1.02, -1.82, 64.02, 3.0, -65.18, -14.92, -76.19, 24.92, -30.25, 18.13, -127.45, -65.86, -29.15, 12.01, -58.51, -7.65, 93.1, 55.58, 20.32, -50.43, 123.26, -18.05, -34.67, -38.72, 109.36, -139.09, -160.61, 46.97, -39.28, 9.2, 89.36, 23.16, -2.3, 20.75, -69.35, 92.26, 93.41, -26.5, 100.5, 11.58, 47.16, 83.88, 43.64, 75.46, -36.16, -88.96, 20.51, 46.2, 5.23, -2.24, 8.45, -14.61, 3.84];
minCoverage = 3;
minDistCirculos = 1.5;
minX = -142;
minY = -241;
maxX = 196;
maxY = 192;
