/*********************************************
 * OPL 22.1.1.0 Data
 * Author: Automated Benchmark
 * Creation Date: 18 de Nov de 2025 at 09:42:13
 *********************************************/
r = 47.6;
n = 391;
x = [-14.4, -10.92, 48.96, 38.97, -4.27, -11.39, 5.22, 30.25, 84.32, -25.23, -75.31, 67.94, 46.59, -7.98, 0.75, -4.62, 27.76, -154.96, -54.0, -30.25, -108.53, -99.31, 41.38, 20.19, 35.58, 6.44, 84.33, 46.2, -118.7, -49.59, 74.89, -10.35, 19.71, 15.69, -154.5, 102.11, 76.54, 39.47, 41.11, 38.79, 36.94, -21.99, 46.8, 69.28, -92.05, 52.33, 15.04, 15.8, -96.03, 38.91, -65.77, 70.96, 61.0, -33.92, 29.62, -77.73, -51.71, -57.32, 2.66, -8.54, 36.94, -51.32, -5.09, 38.57, -127.39, 57.72, -69.66, -81.85, -80.95, 12.59, -52.73, -48.47, -50.61, -43.94, -17.94, -35.92, 5.6, -17.86, -84.91, -9.35, -2.08, 25.67, 4.36, 23.23, 42.16, 96.47, -51.45, -7.69, 101.02, -68.69, -6.8, 1.4, 78.23, 6.36, -10.35, -13.39, 142.28, -154.2, 44.98, 7.96, -73.06, -43.19, -18.33, 3.06, -9.29, 58.73, 24.41, -54.41, 7.61, 81.01, -54.36, 39.17, -16.18, 15.81, -105.61, -34.43, 73.52, 62.31, -3.6, -1.42, 143.5, -43.63, 66.81, -39.97, -136.65, -77.46, 45.68, 29.25, 18.46, -65.56, 85.01, -9.85, -12.48, 14.49, 90.71, 55.59, 38.53, 51.57, -2.52, 64.85, 11.78, -28.74, 25.85, -110.83, -15.59, 8.03, 29.33, 93.38, 95.72, 16.82, 42.88, -42.02, 80.92, 29.54, 177.12, 121.97, -14.63, -89.85, 1.53, -36.79, 53.36, 14.36, -74.6, -70.68, 22.83, -116.93, 23.97, -10.2, -59.47, 20.17, -25.44, 11.14, 65.19, 92.63, 98.87, 36.02, 9.93, -25.38, 30.1, -85.6, -75.26, -34.12, 34.87, 64.5, 100.32, 119.83, 20.12, -86.27, -6.11, -68.81, 166.43, 22.19, -6.05, 58.37, 10.64, 67.3, 40.59, 39.16, -87.67, -25.21, -59.36, 12.53, 19.28, 16.55, 33.3, -129.14, -27.75, 6.95, 61.94, 153.2, 38.2, 38.72, -56.41, -103.69, 5.4, 14.94, -21.81, 42.61, -26.32, -65.65, -5.74, -0.56, 93.27, -119.48, 110.5, 215.53, 76.52, -41.67, -86.99, 10.07, -26.85, -26.37, 18.79, 34.82, 14.51, -69.13, 14.89, 8.26, 18.16, -65.49, -31.22, 0.6, 30.56, -67.96, 83.67, 56.86, 92.72, -114.3, -13.44, -76.87, -11.51, 129.16, 91.69, -53.62, 82.0, 47.45, -8.28, 11.77, 45.09, -89.24, -106.35, -92.82, 71.59, -11.41, 30.0, -47.06, -39.62, -14.67, 34.49, -96.98, 93.84, -88.12, 75.27, 12.49, -9.33, -19.3, -27.1, -59.76, -21.5, -65.31, -38.2, -33.28, -66.14, 69.83, -48.31, 4.45, -104.98, -103.1, 90.67, 101.07, 56.78, -26.21, -23.53, 58.66, -144.13, -43.95, -49.2, 1.48, -38.93, 59.41, 27.92, 64.84, -59.2, -62.28, -58.77, -8.56, -44.65, -87.84, -59.32, -40.98, -91.75, -62.43, -80.04, 12.84, -23.67, -37.64, 16.73, 25.46, 0.03, 145.5, -103.93, 117.11, 1.81, 1.3, 31.18, 28.14, -105.52, 58.7, 83.55, 55.12, 62.61, 190.66, 135.45, -19.66, 18.87, -144.73, -105.35, -31.38, -4.32, 47.18, 87.71, -11.5, -156.68, 6.38, -45.9, -78.16, 84.61, -43.03, -49.53, -39.75, -126.72, 156.82, -1.9, -3.27, -53.04, 56.07, -34.52, -16.9, -123.63, -42.81, -55.54, -99.28, 101.92, -23.54, -19.33, -15.84, -105.18, 74.53, 112.71, -11.34, 26.47, 35.41, 19.14, 1.05, 65.32, -106.84, 0.31, -27.68, -22.53, -111.7, -26.87, 55.34, 82.99, 101.05, -22.98, -81.17, 106.04, -5.24, 23.79, -17.56, 55.35];
y = [-85.0, -65.65, 80.72, 2.72, 4.27, 36.76, -26.05, 63.14, 56.88, 92.77, 14.76, 32.51, -59.05, 151.58, 19.3, 74.56, 12.34, 59.37, -3.89, -24.4, 3.09, 50.94, -123.05, 69.11, 51.29, 53.17, -68.52, 18.59, -13.1, 38.0, -76.1, -43.79, 15.22, -5.74, -27.51, -140.04, 14.01, -11.73, 167.97, -26.53, 69.17, -26.4, -107.32, -3.2, 67.7, 122.27, 37.24, -67.19, -50.94, 38.01, 11.17, 18.48, 5.19, -24.7, 44.66, 80.38, 84.3, 44.47, -47.21, -68.61, 56.83, -98.59, -97.61, -19.95, 100.33, -69.13, -22.01, 65.73, -86.63, -36.8, 30.06, 64.75, -19.08, -32.66, 21.54, 23.4, 15.68, -45.3, -10.1, 1.23, -49.9, 33.65, 1.99, 6.21, 44.52, -31.88, -53.09, -22.74, 31.68, 64.92, 51.07, -54.84, 40.22, -29.29, 16.1, 67.76, -0.19, 107.11, 29.77, 9.3, -72.26, -44.56, 75.92, 30.53, 56.04, -36.0, -78.62, -94.52, 17.21, -49.47, 75.97, -7.31, -1.11, 87.11, -26.57, 52.67, -57.24, 90.12, 80.43, -119.48, -64.39, 30.69, -18.42, 10.83, -19.97, 86.39, -55.05, 151.27, 104.54, -6.11, 98.76, -57.65, -37.92, 28.0, 68.85, -15.02, 41.87, 52.33, -55.91, -45.8, 72.85, -74.25, -2.8, -48.6, 46.4, 7.55, -2.93, 7.14, 7.67, 29.24, -11.67, 9.16, -108.29, -116.31, -17.41, -47.3, -182.87, 23.33, 37.38, 29.66, 1.94, -41.59, 3.39, -50.08, 29.58, -3.97, 53.3, -48.97, -12.42, 51.24, -73.7, -19.22, 46.83, -4.18, -10.43, 86.13, 62.85, -91.95, -65.51, -90.24, 41.04, 37.02, -44.17, 43.35, -50.14, 17.37, 4.14, 34.42, 13.95, -43.1, -19.11, -11.18, 61.32, 61.73, 1.81, 0.6, 30.52, -14.92, 80.63, 111.94, -102.68, 0.66, 6.88, 28.93, 14.9, -43.79, -22.79, 128.84, 36.13, 40.85, 21.89, -52.58, -115.09, 6.92, 174.02, 150.55, -24.33, -44.05, -0.38, 14.46, 85.18, -27.45, 40.63, -60.03, 48.11, 109.68, 85.85, -1.22, -35.31, -56.08, -64.04, -104.23, 76.01, -16.74, 27.88, -121.57, -7.8, -35.83, -19.79, 45.62, 26.21, -88.88, -51.98, -15.04, 78.48, 2.77, 15.95, 146.23, -80.11, 1.11, -40.17, 67.2, 33.09, 138.7, 8.61, -31.45, -51.3, 18.29, -14.13, -93.79, 7.27, 71.98, -52.64, -132.33, 18.21, -48.51, -57.34, 66.93, 78.13, 15.81, -14.4, 42.75, 3.75, 67.4, 42.72, -66.51, 39.53, -4.67, -64.58, -85.0, 21.4, 68.64, -34.34, -48.55, -60.66, -51.61, 132.46, -36.47, 72.55, -23.6, -5.86, 49.45, 10.39, 9.08, 95.92, 33.29, 54.29, 57.35, 16.8, -65.13, 24.22, 6.25, -40.59, 93.21, 50.23, -28.2, -31.47, -51.18, 153.17, -1.22, -28.73, -11.74, 4.1, -3.55, -18.24, -12.12, 23.85, 61.12, -86.09, 96.33, -14.11, -94.23, -47.5, -4.61, -99.13, 56.43, 37.93, -76.02, 10.98, -14.53, -85.26, 53.69, -3.35, -22.95, -48.78, 36.68, -13.86, -20.82, -59.58, 5.83, -0.03, -1.0, -115.7, -4.94, -56.89, 22.95, -45.05, 40.7, 133.65, 39.17, 59.21, -51.85, -71.48, 83.66, 75.77, -67.96, -0.79, 52.83, 41.34, 101.98, 76.54, -56.99, -49.7, -3.51, -28.15, -27.97, 76.3, 74.36, -9.68, -60.78, -43.38, -15.71, -6.86, -51.17, -1.32, -87.91, 107.85, -22.54, 106.96, -4.31, -61.21, -17.15, 74.38, -60.41, 75.5, 38.8, 70.12, 39.22, 31.51, 52.74, -24.36];
minCoverage = 3;
minDistCirculos = 5.74;
minX = -156;
minY = -182;
maxX = 215;
maxY = 174;
